,0
0,Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section.
1,The other segments are jointly called the flagellum.Beetles have mouthparts like those of grasshoppers.
2,It took him 78 ODIs to score his first century.
3,"The subsequent album, Beggars Banquet, an eclectic mix of country and blues-inspired tunes, marked the bands return to their roots."
4,"With respect to the quality of education in government schools, the state ranked below most Indian states."
5,"The Rolling Stones were scheduled to play at a free concert for Blackhill Enterprises in Londons Hyde Park, two days after Jones death; they decided to go ahead with the show as a tribute to him."
6,"Described as engineering a political realignment towards right-wing politics, Modi remains a figure of controversy domestically and internationally over his Hindu nationalist beliefs and his role during the 2002 Gujarat riots, cited as evidence of an exclusionary social agenda."
7,"Then, in a hitherto unprecedented sequence, he scored 0, 0, 8 and 0 in the next four innings."
8,His policies during his second term have been credited with reducing corruption in the state.
9,"Under Modi, the state government spent far less than the national average on education and healthcare."
